,,,,,,Bryozoa,Arthropoda,Mollusca,Mollusca,Chordata,Chordata,Chordata,Chordata,Chordata,Chordata,Chordata,Chordata,Chordata,Arthropoda,Arthropoda,Mollusca,Chordata,Chordata,Chordata,Bryozoa,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Chordata,Arthropoda,NA,Rhodophyta,Chordata,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Mollusca,Arthropoda,Bryozoa,Chordata,Rhodophyta,Chordata,Chordata,NA,NA,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Rhodophyta,Arthropoda,Annelida,Arthropoda,Platyhelminthes,Platyhelminthes,Arthropoda,Mollusca,Rhodophyta,Arthropoda,Arthropoda,Arthropoda,Chordata,Chordata,Chordata,Chordata,Chordata,Mollusca,Nematoda,Arthropoda,Ochrophyta,Platyhelminthes,Platyhelminthes,Mollusca,Platyhelminthes,Rhodophyta,Rhodophyta,Rhodophyta,Arthropoda,Arthropoda,Rhodophyta,Rhodophyta,Bryozoa,Arthropoda,Annelida,NA,Annelida,Annelida,Annelida,Annelida,Platyhelminthes,Nemertea,Bryozoa,Chlorophyta,Chlorophyta,Bryozoa,,,,,,,,,,,
Group,Name1,Name2,Tile Depth,Tile Material,Tile orientation,Alcyonidium_gelatinosum,Amphipoda_sp,Anomia_ephippium,Anomia_sp1,Aplidium_elegans,Aplidium_sp,Ascidia_conchilega,Ascidia_mentula,Ascidia_virginea,Ascidiacea,Ascidian_sp1,Ascidiella_aspersa,Ascidiella_scabra,Austrominius_modestus,Balanus_crenatus,Barleeia_unifasciata,Botrylloides_leachii,Botrylloides_violaceus,Botryllus_schlosseri,Bryozoa,Caprella_acanthifera,Caprella_acanthogaster,Caprella_equilibra,Caprella_mutica,Caprella_sp,Chthamalus_montagui,Ciona_intestinalis,Cirripedia,Colomstix_pulsila,Corallina_officinalis,Corella_eumyota,Corophidae_sp,Corophium_bonnelli,Corophium_multisetosum,Corophium_sp,Corophium_volutator,Crassicorophium_crassicorne,Crepidula_fornicata,Crustacea_sp1,Cryptosula_pallasiana,Didemnum_vexillum,Dilsea_carnosa,Diplosoma_sp,Diplosoma_spongiforme,egg_1,egg_2,Ericthonius_sp,Gammaridae_sp,Gammarus_locusta,Gammarus_zaddachi,Haustoriidae,Hypoglossum_hypoglossoides,Iphimedia_minuta,Janua_heterostropha,Jassa_falcata,Leptoplana_tremellaris,Leptoplanidea_sp1,Leucothoe_incisa,Littorina_fabalis,Lomentaria_clavellosa,Melita_palmata,Microdeutopus_gryllotalpa,Microprotopus_maculatus,Molgula_manhattensis,Molgula_oculata,Molgula_socialis,Molgula_sp,Molgula_tubifera,Mytilus_edulis,Nematoda_sp,Nototropis_swammerdamei,Phaeophyceae_encrusing,Plagiostomum_vittatum,Platyhelminthes_sp,Pododesmus_patelliformis,Polycladida_sp,Polysiphonia_elongata,Polysiphonia_sp,Porphyra_sp,Pseudoparatanais_batei,Pseudoprotella_phasma,Rhodophyta_sp1,Rhodymenia_delicatula,Scrupocellaria_sp,Semibalanus_balanoides,Serpulidae_sp,Sp1,Spirobranchus lamarcki,Spirobranchus_triqueter,Spirorbidae_sp,Spirorbis_spirorbis,Stylostomum_ellipse,Tetrastemma,Tricellaria_inopinata,Ulva_lactuca,Ulva_sp,Watersipora_subtorquata,,,,D,P,V,DPV,,,DPV,4
1,Alex,Ana,Deep,Plastic,Vertical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,0,0,0,,,,S,P,H,SPH,,,SPH,5
2,Tiani,Brett,Shallow,Plastic,Horizontal,0,0,0,1,0,0,5,0,0,0,20,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,5,0,0,5,0,0,0,,,,S,S,H,SSH,,,SSH,6
3,Anna Charnock,Honor Haskett,Shallow,Slate,Horizontal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,35,0,5,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,80,0,0,0,,,,D,S,H,DSH,,,DSH,5
4,Sam,Johnny,Deep,Slate,Horizontal,0,0,0,1,0,0,10,0,0,0,0,0,30,5,0,0,0,0,20,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,10,0,0,40,0,1,1,,,,D,P,H,DPH,,,DPH,5
5,Andy,Josh,Deep,Plastic,Horizontal,0,5,0,1,0,0,20,0,0,0,0,0,0,5,0,1,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,20,0,0,5,,,,D,P,H,DPH,,,SPV,5
6,Suzy,George,Deep,Plastic,Horizontal,0,0,0,1,0,0,0,0,0,0,10,5,0,5,0,0,0,0,1,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,0,0,0,,,,S,P,V,SPV,,,SSV,5
7,Sergio,Rob,Shallow,Plastic,Vertical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,,,,S,S,H,SSH,,,DSV,5
8,Naomi,Eliska,Shallow,Slate,Horizontal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,40,0,0,0,,,,S,S,V,SSV,,,,
9,Chloe,Rachael,Shallow,Slate,Vertical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10,0,0,40,0,0,0,,,,D,S,H,DSH,,,,
10,Charlotte David,Alyshia McDonald,Deep,Slate,Horizontal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,1,0,0,0,1,0,0,0,10,0,0,0,,,,D,P,V,DPV,,,,40
11,Lysette,Megan,Deep,Plastic,Vertical,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,20,0,0,1,,,,D,S,H,DSH,,,,
12,Genesis,Ellie,Deep,Slate,Horizontal,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,30,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,1,0,0,,,,D,S,V,DSV,,,,
13,Jess,Charlotte,Deep,Slate,Vertical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,1,0,20,0,0,0,0,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,70,0,0,0,,,,D,S,V,DSV,,,,
14,Chloe,Isobel,Deep,Slate,Vertical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,40,0,0,0,,,,S,S,H,SSH,,,,
15,Frankie,Abbi,Shallow,Slate,Horizontal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,,,,S,P,H,SPH,,,,
16,Rebecca,Luke,Shallow,Plastic,Horizontal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,20,0,0,0,,,,S,P,V,SPV,,,,
17,Sean,Callum,Shallow,Plastic,Vertical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,10,0,0,0,,,,S,P,V,SPV,,,,
18,Sean,Callum,Shallow,Plastic,Vertical,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,0,0,4,0,0,0,,,,S,S,H,SSH,,,,
19,Michael,Lauren,Shallow,Slate,Horizontal,0,0,0,0,0,0,70,0,0,0,0,0,5,5,0,0,0,10,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,1,,,,S,S,V,SSV,,,,
20,Maisie,NA,Shallow,Slate,Vertical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,1,0,50,0,0,0,,,,S,P,V,SPV,,,,
21,Rafael,James,Shallow,Plastic,Vertical,0,10,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,40,0,0,1,,,,D,P,V,DPV,,,,
22,Louise,Libby,Deep,Plastic,Vertical,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,,,,S,S,H,SSH,,,,
23,Joey,Hannah,Shallow,Slate,Horizontal,0,0,0,0,0,0,0,20,0,0,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,,,,D,P,H,DPH,,,,
24,Kate,Sophie,Deep,Plastic,Horizontal,0,0,0,0,10,0,0,0,0,0,0,40,0,0,0,0,0,0,5,0,1,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,15,0,0,0,,,,D,P,V,DPV,,,,
25,Morgan,Luka,Deep,Plastic,Vertical,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,5,,,,D,P,H,DPH,,,,
26,Ben,Gabs,Deep,Plastic,Horizontal,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,D,S,V,DSV,,,,
27,Lorraine,Emily,Deep,Slate,Vertical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,10,0,0,0,1,0,10,0,0,50,0,0,0,,,,S,S,V,SSV,,,,
28,Jade,Izzy,Shallow,Slate,Vertical,0,0,0,0,0,0,0,0,1,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,30,0,0,0,,,,D,S,V,DSV,,,,
29,Honey,NA,Deep,Slate,Vertical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,5,0,0,0,0,0,0,,,,S,S,V,SSV,,,,
30,Megan,NA,Shallow,Slate,Vertical,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,10,0,1,5,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,,,,D,P,H,DPH,,,,
31,Emma,Barry,Deep,Plastic,Horizontal,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,30,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,1,0,0,0,0,0,0,0,0,,,,S,P,H,SPH,,,,
32,Duncan,NA,Shallow,Plastic,Horizontal,10,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,5,,,,S,P,V,SPV,,,,
33,Katrenakova,Doyle,Shallow,Plastic,Vertical,0,20,0,0,0,0,0,0,0,5,0,0,0,0,0,0,10,0,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,30,0,0,0,,,,D,S,H,DSH,,,,
34,Abigail,Danielle,Deep,Slate,Horizontal,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,1,0,0,0,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,70,0,1,5,,,,S,P,H,SPH,,,,
35,Dyllan,Harry,Shallow,Plastic,Horizontal,0,0,5,0,0,0,10,0,0,0,0,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,5,0,1,0,0,0,0,0,0,,,,D,S,V,DSV,,,,
36,Oscar,Alli,Deep,Slate,Vertical,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,40,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,0,0,0,,,,D,S,H,DSH,,,,
37,Luke,Luke,Deep,Slate,Horizontal,0,0,0,0,0,0,50,0,0,0,0,30,0,5,0,0,30,0,10,0,0,0,0,0,0,0,30,0,0,0,30,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,,,,S,S,V,SSV,,,,
38,Charlie,Ben,Shallow,Slate,Vertical,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,25,0,8,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5,0,0,25,0,0,0,,,,S,S,H,SSH,,,,
39,Dan,Laurrie,Shallow,Slate,Horizontal,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,,,,S,P,H,SPH,,,,
40,Sam,Dan,Shallow,Plastic,Horizontal,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,40,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,30,0,0,0,,,,,,,,,,,